text,start,finish,path
a,0.16380422018664553,0.24,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-028.flac
l,0.24,0.384874332793829,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-028.flac
w,0.384874332793829,0.43727613726367986,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-028.flac
i,0.43727613726367986,0.4945906109025793,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-028.flac
n,0.4945906109025793,0.6509772461172905,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-028.flac
a,0.3562958480351137,0.4511267335993549,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-019.flac
n,0.4511267335993549,0.5301524715695559,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-019.flac
y,0.5301524715695559,0.627414918302111,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-019.flac
b,0.627414918302111,0.7927610777474546,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-019.flac
w,0.7927610777474546,0.8717868157176556,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-019.flac
i,0.8717868157176556,1.1149429325490434,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-019.flac
a,0.149069675833936,0.25,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-017.flac
l,0.25,0.3963464353561877,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-017.flac
o,0.3963464353561877,0.623972061671373,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-017.flac
a,0.30375116223010434,0.4208612555528772,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-026.flac
s,0.4208612555528772,0.6282850649127036,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-026.flac
w,0.6282850649127036,0.696764695753986,/home/kalvin/ssl/unbox-w2v-convnet/data/voxangeles/data/audited_aligned/bfd/bfd-000-026.flac
